Temps [s];Marche [s/j];Amplitude [°]
2;0.9;278
4;0.5;279
6;1.1;282
8;3.9;282
10;0.3;285
12;1.5;283
14;3.8;280
16;2.6;276
18;2.5;275
20;1.2;273
22;4.8;272
24;0.1;270
26;0.7;273
28;0.2;275
30;2.7;270
32;-0.9;265
34;0;278
36;1.9;275
38;1;275
40;0.8;276
42;0.2;278
44;2.2;277
46;0.7;274
48;0.4;276
50;-0.5;283
52;2.8;283
54;0.4;278
56;1.1;283
58;0;283
60;4.3;280
62;0.6;276
64;0.7;272
66;1.7;279
68;4.6;279
70;2.2;275
72;2.4;271
74;3.2;277
76;1.1;277
78;1.2;276
80;1.2;278
82;4.3;276
84;0.4;277
86;0;279
88;0.2;282
90;3.3;279
92;-0.4;274
94;0.4;281
96;2.8;281
98;1.9;283
100;0.5;279
102;0;277
104;2.4;287
106;2.5;280
108;1.1;288
110;-0.1;291
112;3.6;289
114;1.1;286
116;1;289
118;0.6;293
120;4.5;288
122;0.9;290
124;1.3;291
126;2.2;288
128;4.9;287
130;1.5;285
132;0.8;289
134;2.5;286
136;1.5;286
138;1.2;282
140;0.8;289
142;4;287
144;0.8;289
146;0.6;289
148;0.8;288
150;3;287
152;-0.7;280
154;1.1;290
156;2.3;291
158;1.8;292
160;0.9;283
162;1.7;294
164;3.8;291
166;1.9;283
168;2;281
170;1.1;283
172;4.5;287
174;1.3;288
176;1.3;289
178;2.3;285
180;5.9;283
182;1.8;278
184;1.1;281
186;1.2;283
188;2.5;278
190;0.4;285
192;0.7;278
194;3.1;284
196;0.3;282
198;1.3;286
200;0.4;276
202;4.2;284
204;-0.2;291
206;0.8;288
208;0.7;292
210;3.5;284
212;0.2;285
214;0.7;292
216;3.2;285
218;2.5;286
220;2.2;291
222;1.8;290
224;4.1;276
226;2.4;284
228;2.3;283
230;1.5;280
232;3.7;286
234;1.3;282
236;2.6;275
238;1.9;277
240;4.8;272
242;1.7;275
244;1.3;276
246;1.1;273
248;2.8;272
250;-0.2;274
252;0.7;266
254;2.2;271
256;-0.7;273
258;-0.4;274
260;0.7;270
262;2.7;272
264;-1.3;276
266;0.4;274
268;0.3;275
270;2.5;277
272;0.2;277
274;1.1;280
276;3.2;271
278;0.4;281
280;1.7;282
282;0.8;283
284;3;279
286;0.8;282
288;1.2;277
290;1.3;279
292;3.9;279
294;1.2;278
296;1.7;280
298;0.6;280
300;4.2;276
302;0.9;274
304;0.6;278
306;1.1;274
308;2.5;274
310;-0.1;279
312;0.2;280
314;2.1;279
316;0;284
318;1.3;280
320;0.7;285
322;3.9;288
324;-0.3;289
326;1.6;288
328;1.7;279
330;3.6;275
332;0.6;286
334;1.6;289
336;3.4;280
338;1.2;283
340;2.4;288
342;0.7;281
344;3.5;285
346;1.6;285
348;2.3;284
350;1.3;284
352;4.5;283
354;1.5;274
356;1.7;276
358;0.5;285
360;3.3;283
362;0;284
364;0.6;275
366;1.2;288
368;2;279
370;-0.1;292
372;1.1;285
374;3.5;291
376;0.3;290
378;1.8;286
380;1.6;291
382;4.2;290
384;0.4;290
386;1.9;292
388;2.1;293
390;2.9;286
392;1.6;288
394;1.7;291
396;3.2;284
398;1.5;276
400;2.6;288
402;2;285
404;4.2;285
406;1.5;281
408;1.9;285
410;1.6;285
412;3.5;280
414;0.2;281
416;1.3;280
418;0.9;286
420;3.4;275
422;-0.1;292
424;0.4;289
426;0.5;289
428;2.3;289
430;0.9;294
432;1.2;291
434;3.3;290
436;0.8;285
438;1.8;275
440;1.9;285
442;4.2;289
444;1.4;288
446;1.9;286
448;1.9;284
450;4.1;287
452;1.8;289
454;2.6;282
456;4.2;278
458;2;279
460;1.7;269
462;1.7;283
464;3.7;277
466;1;274
468;1.2;272
470;0.1;280
472;4.5;276
474;-0.1;267
476;0.6;272
478;0.1;285
480;3.6;281
482;0.5;282
484;0.1;282
486;0.9;282
488;3.8;282
490;0.7;283
492;1.3;284
494;3;276
496;1.5;282
498;1.8;270
500;1.3;280
502;5.2;278
504;1.4;266
506;2.2;277
508;1.6;275
510;3.7;271
512;0.5;273
514;1;265
516;2;272
518;2.3;268
520;-0.1;271
522;-0.1;266
524;2.7;274
526;0.2;275
528;0.3;266
530;-1;277
532;2.8;277
534;-0.5;280
536;0.6;279
538;-0.3;284
540;3.9;282
542;0.1;272
544;0.3;286
546;1.5;287
548;3.5;285
550;0.7;289
552;1.1;285
554;3.1;287
556;1.7;284
558;3.4;285
560;2.6;284
562;6.7;279
564;1.1;276
566;1.5;271
568;0.9;277
570;4.2;274
572;-0.7;272
574;0.5;278
576;2;276
578;2;278
580;-0.2;279
582;-0.2;283
584;2.3;284
586;1.1;279
588;0.5;280
590;-1;289
592;3.4;291
594;0;284
596;0;293
598;0;287
600;4.4;292
602;1.3;286
604;1.4;299
606;2.7;298
608;4.8;295
610;1.4;296
612;3.5;293
614;5;282
616;4;287
618;3.7;289
620;1.9;283
622;6;280
624;1.4;269
626;1.8;282
628;0.9;272
630;3.4;282
632;-0.3;272
634;0.4;282
636;2.1;284
638;1.8;280
640;0.8;287
642;0.2;286
644;2.3;282
