Temps [s];Marche [s/j];Amplitude [°]
2;5.1;254
4;5.9;255
6;4.1;254
8;4.8;256
10;6.5;256
12;4.4;254
14;4.8;257
16;6.1;255
18;5.5;255
20;4.6;257
22;5.1;254
24;6.5;256
26;4.3;255
28;4.9;256
30;6.2;257
32;4.1;255
34;6.3;258
36;6.6;255
38;5.5;254
40;4.7;256
42;4.8;254
44;5.7;256
46;3.7;256
48;4.6;257
50;6.5;257
52;4.5;255
54;5.2;259
56;6.2;257
58;5.4;256
60;5;258
62;5.3;256
64;6.5;258
66;4.6;255
68;5.3;257
70;6.6;257
72;4.1;255
74;5.1;259
76;7.1;255
78;5.7;254
80;4.9;255
82;4.9;253
84;6;255
86;3.6;254
88;4.4;255
90;6.2;255
92;4.3;253
94;4.2;256
96;5.8;253
98;4.3;254
100;4.2;256
102;4.7;255
104;6.4;256
106;4.7;256
108;5.2;256
110;6.7;257
112;4.2;253
114;4.6;258
116;5.8;256
118;5.8;255
120;5.2;257
122;5.3;254
124;6;253
126;4.1;254
128;4.4;255
130;5.9;256
132;3.8;253
134;4.6;257
136;5.8;255
138;5.2;254
140;4.8;256
142;5.5;253
144;6.2;255
146;4;254
148;5;254
150;6.5;254
152;4.4;251
154;4.7;254
156;4.8;251
158;3.9;251
160;4.2;253
162;4.9;251
164;5.5;252
166;3.4;251
168;3.7;252
170;5.5;253
172;3;251
174;3.5;254
176;5.1;253
178;4.3;252
180;3.8;255
182;4.1;253
184;5.5;255
186;3.8;254
188;4.4;255
190;6;255
192;4.2;253
194;4.3;255
196;5.3;254
198;4.3;254
200;4.1;256
202;5;253
204;5.9;254
206;3.9;253
208;4.2;254
210;5.9;254
212;3.2;252
214;4;256
216;5.3;255
218;4.4;255
220;4.6;257
222;4.9;255
224;6.2;256
226;4.4;255
228;5.3;256
230;6.8;256
232;4.6;254
234;5.5;256
236;5.6;253
238;4.7;254
240;3.6;257
242;5;254
244;6.3;255
246;4.1;254
248;4.6;254
250;6.3;255
252;3.6;253
254;4.4;257
256;5.6;254
258;4.6;255
260;4.8;257
262;5.4;254
264;6;255
266;4.1;253
268;4.6;254
270;6.5;254
272;3.9;251
274;4.5;255
276;5.7;252
278;3.9;251
280;3.5;254
282;3.9;253
284;6;254
286;4.1;252
288;4.4;253
290;6.1;253
292;3.4;249
294;3.7;253
296;4.6;251
298;3.7;252
300;3.4;255
302;4;253
304;5.4;254
306;3.7;254
308;4.7;254
310;6.3;252
312;3.9;249
314;4.5;254
316;5.5;251
318;4.4;250
320;3.9;252
322;3.9;250
324;5.1;250
326;3.8;250
328;4.4;249
330;5.6;249
332;2.7;247
334;3.4;250
336;4.2;248
338;3.3;248
340;2.9;249
342;3.8;249
344;4.9;250
346;2.5;249
348;3.1;251
350;5.4;251
352;2.8;249
354;3.7;253
356;5;251
358;4.1;250
360;3.2;252
362;3;250
364;4;254
366;3.6;253
368;4.4;253
370;6;254
372;3.7;252
374;4.3;254
376;5.3;253
378;4.2;253
380;3.7;255
382;4.4;253
384;5.4;254
386;3.8;254
388;4.5;254
390;6.1;253
392;3.9;252
394;4.4;255
396;5.4;253
398;4.5;252
400;3.9;254
402;4.2;252
404;4.9;254
406;3.1;254
408;5.1;253
410;6.7;253
412;3.8;250
414;4.1;252
416;4.6;251
418;3.9;250
420;2.8;252
422;3.4;251
424;5.1;253
426;3.5;252
428;4.2;253
430;6.1;252
432;3.6;251
434;4.3;254
436;5.3;252
438;4.5;252
440;4.6;253
442;5;251
444;5.3;252
446;2.7;252
448;4;253
450;6.5;252
452;4.1;250
454;4.2;252
456;5.2;250
458;3.7;249
460;3;252
462;3.4;250
464;4.8;253
466;3;252
468;3.8;252
470;6.1;253
472;3.6;251
474;4;254
476;5.3;252
478;4.2;252
480;3.4;254
482;4.5;252
484;5.7;253
486;3.2;251
488;3.6;253
490;5.7;254
492;3.7;251
494;4.9;253
496;5.8;250
498;4.7;249
500;3.7;250
502;3.9;249
504;4.9;250
506;2.6;249
508;3.5;250
510;5.6;251
512;3.2;248
514;3.7;251
516;4.8;249
518;3.6;249
520;3.3;251
522;3.6;247
524;5.4;250
526;3.1;249
528;3.4;251
530;4.9;251
532;2.7;249
534;4.5;252
536;5.6;250
538;3.9;249
540;3.3;252
542;3.6;250
544;4.8;252
546;2.3;252
548;3.3;253
550;5.5;254
552;3.1;253
554;4;256
556;5.5;254
558;4.7;254
560;4.5;256
562;4.8;254
564;6.1;255
566;4;253
568;4.7;253
570;6;254
572;3.3;252
574;4;256
576;6;253
578;4.5;252
580;4.3;254
582;4.5;251
584;5.4;252
586;3.2;251
588;3.5;252
590;5.8;253
592;3.5;252
594;3.5;256
596;5.3;255
598;4.5;255
600;4;257
602;4.9;255
604;6.2;257
606;4.4;255
608;5;256
610;6.8;256
612;4.2;251
614;4.2;256
616;5.2;254
618;5.2;254
620;5.1;255
622;4.7;252
624;5.9;253
626;3.4;252
628;3.9;253
630;5.6;254
632;3.3;252
634;4;256
636;5.4;254
638;4.6;254
640;4.2;256
642;5.1;254
644;5.6;255
646;4.1;253
648;4.8;255
650;6.8;254
652;4.2;250
654;4.6;254
656;5.4;252
658;4.2;251
660;4.4;253
662;4.6;250
664;5.6;250
666;3.2;249
668;3.6;250
670;5.1;251
672;2.7;249
674;3.2;253
676;4.8;251
678;4.1;251
680;3.9;253
682;4;248
684;5.5;252
686;3.4;250
688;3.9;252
690;5.7;251
692;4.1;250
694;4.5;251
696;5.2;249
