Zeit	Gang	Gang	Gang	Gang	Gang	Gang	Gang	Gang	Gang	Repere	Repere	Repere	Repere	Repere	Repere	Repere	Repere	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	Amplitude	E	
Zeit	CH	CB	9H	6H	3H	12H	X	D	DVH	CH	CB	9H	6H	3H	12H	X	D	CH	CB	9H	6H	3H	12H	X	D	DVH		
000:00:02	-1.3									0.0								303										
000:00:04	-2.2									0.1								302										
000:00:06	-10.2									0.1								304										
000:00:08	1.8									0.0								305										
000:00:10	3.5									0.1								305										
000:00:12	-5.6									0.1								305										
000:00:14	1.1									0.0								308										
000:00:16	0.7									0.1								308										
000:00:18	-2.3									0.0								307										
000:00:20	1.8									0.0								308										
000:00:22	0.5									0.1								307										
000:00:24	-1.1									0.0								306										
000:00:26	3.8									0.0								305										
000:00:28	-7.1									0.2								305										
000:00:30	-3.6									0.0								305										
000:00:32	4.4									0.1								303										
000:00:34	-7.6									0.2								301										
000:00:36	-4.5									0.0								302										
000:00:38	1.6									0.1								301										
000:00:40	-7.2									0.1								300										
000:00:42	-4.1									0.0								301										
000:00:44	-3.6									0.2								303										
000:00:46	-8.6									0.1								304										
000:00:48	3.0									0.0								303										
000:00:50	2.4									0.1								304										
000:00:52	-3.8									0.0								305										
000:00:54	2.6									0.0								306										
000:00:56	3.2									0.1								302										
000:00:58	-7.0									0.0								303										
000:01:00	3.6									0.0								304										
000:01:02	1.8									0.2								302										
000:01:04	-2.2									0.0								302										
000:01:06	1.8									0.0								304										
000:01:08	-3.7									0.2								305										
000:01:10	-6.9									0.0								306										
000:01:12	3.2									0.1								306										
000:01:14	-10.1									0.2								307										
000:01:16	-2.4									0.0								309										
000:01:18	3.7									0.1								307										
000:01:20	-10.0									0.1								307										
000:01:22	-0.6									0.0								309										
000:01:24	-1.1									0.1								308										
000:01:26	-8.0									0.1								307										
000:01:28	0.2									0.0								308										
000:01:30	2.0									0.1								309										
000:01:32	-5.3									0.0								308										
000:01:34	1.7									0.0								306										
000:01:36	1.6									0.1								305										
000:01:38	-6.2									0.0								306										
000:01:40	3.8									0.0								305										
000:01:42	-2.1									0.2								305										
000:01:44	-2.2									0.0								307										
000:01:46	1.3									0.0								309										
000:01:48	-4.6									0.1								306										
000:01:50	-2.1									0.0								307										
000:01:52	3.4									0.1								309										
000:01:54	-7.7									0.2								308										
000:01:56	-0.1									0.0								306										
000:01:58	0.0									0.1								305										
000:02:00	-8.5									0.1								305										
000:02:02	2.2									0.1								305										
000:02:04	-0.3									0.1								304										
000:02:06	-9.4									0.1								305										
000:02:08	2.2									0.0								306										
000:02:10	3.5									0.1								305										
000:02:12	-7.5									0.0								304										
000:02:14	2.8									0.0								305										
000:02:16	0.4									0.1								305										
